b1_b4_b8_b12_b15_id;b1;b4;b8;b12;b15
681;1;7;11;16;20
682;1;7;11;16;21
683;1;7;11;16;22
684;1;7;11;16;23
685;1;7;11;16;24
686;1;7;11;16;25
687;1;7;11;17;20
688;1;7;11;17;21
689;1;7;11;17;22
690;1;7;11;17;23
691;1;7;11;17;24
692;1;7;11;17;25
693;1;7;11;18;21
694;1;7;11;18;22
695;1;7;11;18;23
696;1;7;11;18;24
697;1;7;11;18;25
698;1;7;11;19;22
699;1;7;11;19;23
700;1;7;11;19;24
701;1;7;11;19;25
702;1;7;11;20;23
703;1;7;11;20;24
704;1;7;11;20;25
705;1;7;11;21;24
706;1;7;11;21;25
707;1;7;11;22;25
708;1;7;12;16;19
709;1;7;12;16;20
710;1;7;12;16;21
711;1;7;12;16;22
712;1;7;12;16;23
713;1;7;12;16;24
714;1;7;12;16;25
715;1;7;12;17;20
716;1;7;12;17;21
717;1;7;12;17;22
718;1;7;12;17;23
719;1;7;12;17;24
720;1;7;12;17;25
721;1;7;12;18;21
722;1;7;12;18;22
723;1;7;12;18;23
724;1;7;12;18;24
725;1;7;12;18;25
726;1;7;12;19;22
727;1;7;12;19;23
728;1;7;12;19;24
729;1;7;12;19;25
730;1;7;12;20;23
731;1;7;12;20;24
732;1;7;12;20;25
733;1;7;12;21;24
734;1;7;12;21;25
735;1;7;12;22;25
736;1;7;13;17;20
737;1;7;13;17;21
738;1;7;13;17;22
739;1;7;13;17;23
740;1;7;13;17;24
741;1;7;13;17;25
742;1;7;13;18;21
743;1;7;13;18;22
744;1;7;13;18;23
745;1;7;13;18;24
746;1;7;13;18;25
747;1;7;13;19;22
748;1;7;13;19;23
749;1;7;13;19;24
750;1;7;13;19;25
751;1;7;13;20;23
752;1;7;13;20;24
753;1;7;13;20;25
754;1;7;13;21;24
755;1;7;13;21;25
756;1;7;13;22;25
757;1;7;14;18;21
758;1;7;14;18;22
759;1;7;14;18;23
760;1;7;14;18;24
761;1;7;14;18;25
762;1;7;14;19;22
763;1;7;14;19;23
764;1;7;14;19;24
765;1;7;14;19;25
766;1;7;14;20;23
767;1;7;14;20;24
768;1;7;14;20;25
769;1;7;14;21;24
770;1;7;14;21;25
771;1;7;14;22;25
772;1;7;15;19;22
773;1;7;15;19;23
774;1;7;15;19;24
775;1;7;15;19;25
776;1;7;15;20;23
777;1;7;15;20;24
778;1;7;15;20;25
779;1;7;15;21;24
780;1;7;15;21;25
781;1;7;15;22;25
782;1;7;16;20;23
783;1;7;16;20;24
784;1;7;16;20;25
785;1;7;16;21;24
786;1;7;16;21;25
787;1;7;16;22;25
788;1;7;17;21;24
789;1;7;17;21;25
790;1;7;17;22;25
791;1;7;18;22;25
792;1;8;12;16;19
793;1;8;12;16;20
794;1;8;12;16;21
795;1;8;12;16;22
796;1;8;12;16;23
797;1;8;12;16;24
798;1;8;12;16;25
799;1;8;12;17;20
800;1;8;12;17;21
801;1;8;12;17;22
802;1;8;12;17;23
803;1;8;12;17;24
804;1;8;12;17;25
805;1;8;12;18;21
806;1;8;12;18;22
807;1;8;12;18;23
808;1;8;12;18;24
809;1;8;12;18;25
810;1;8;12;19;22
811;1;8;12;19;23
812;1;8;12;19;24
813;1;8;12;19;25
814;1;8;12;20;23
815;1;8;12;20;24
816;1;8;12;20;25
817;1;8;12;21;24
818;1;8;12;21;25
819;1;8;12;22;25
820;1;8;13;17;20
821;1;8;13;17;21
822;1;8;13;17;22
823;1;8;13;17;23
824;1;8;13;17;24
825;1;8;13;17;25
826;1;8;13;18;21
827;1;8;13;18;22
828;1;8;13;18;23
829;1;8;13;18;24
830;1;8;13;18;25
831;1;8;13;19;22
832;1;8;13;19;23
833;1;8;13;19;24
834;1;8;13;19;25
835;1;8;13;20;23
836;1;8;13;20;24
837;1;8;13;20;25
838;1;8;13;21;24
839;1;8;13;21;25
840;1;8;13;22;25
841;1;8;14;18;21
842;1;8;14;18;22
843;1;8;14;18;23
844;1;8;14;18;24
845;1;8;14;18;25
846;1;8;14;19;22
847;1;8;14;19;23
848;1;8;14;19;24
849;1;8;14;19;25
850;1;8;14;20;23
851;1;8;14;20;24
852;1;8;14;20;25
853;1;8;14;21;24
854;1;8;14;21;25
855;1;8;14;22;25
856;1;8;15;19;22
857;1;8;15;19;23
858;1;8;15;19;24
859;1;8;15;19;25
860;1;8;15;20;23
861;1;8;15;20;24
862;1;8;15;20;25
863;1;8;15;21;24
864;1;8;15;21;25
865;1;8;15;22;25
866;1;8;16;20;23
867;1;8;16;20;24
868;1;8;16;20;25
869;1;8;16;21;24
870;1;8;16;21;25
871;1;8;16;22;25
872;1;8;17;21;24
873;1;8;17;21;25
874;1;8;17;22;25
875;1;8;18;22;25
876;1;9;13;17;20
877;1;9;13;17;21
878;1;9;13;17;22
879;1;9;13;17;23
880;1;9;13;17;24
881;1;9;13;17;25
882;1;9;13;18;21
883;1;9;13;18;22
884;1;9;13;18;23
885;1;9;13;18;24
886;1;9;13;18;25
887;1;9;13;19;22
888;1;9;13;19;23
889;1;9;13;19;24
890;1;9;13;19;25
891;1;9;13;20;23
892;1;9;13;20;24
893;1;9;13;20;25
894;1;9;13;21;24
895;1;9;13;21;25
896;1;9;13;22;25
897;1;9;14;18;21
898;1;9;14;18;22
899;1;9;14;18;23
900;1;9;14;18;24
901;1;9;14;18;25
902;1;9;14;19;22
903;1;9;14;19;23
904;1;9;14;19;24
905;1;9;14;19;25
906;1;9;14;20;23
907;1;9;14;20;24
908;1;9;14;20;25
909;1;9;14;21;24
910;1;9;14;21;25
911;1;9;14;22;25
912;1;9;15;19;22
913;1;9;15;19;23
914;1;9;15;19;24
915;1;9;15;19;25
916;1;9;15;20;23
917;1;9;15;20;24
918;1;9;15;20;25
919;1;9;15;21;24
920;1;9;15;21;25
921;1;9;15;22;25
922;1;9;16;20;23
923;1;9;16;20;24
924;1;9;16;20;25
925;1;9;16;21;24
926;1;9;16;21;25
927;1;9;16;22;25
928;1;9;17;21;24
929;1;9;17;21;25
930;1;9;17;22;25
931;1;9;18;22;25
932;1;10;14;18;21
933;1;10;14;18;22
934;1;10;14;18;23
935;1;10;14;18;24
936;1;10;14;18;25
937;1;10;14;19;22
938;1;10;14;19;23
939;1;10;14;19;24
940;1;10;14;19;25
941;1;10;14;20;23
942;1;10;14;20;24
943;1;10;14;20;25
944;1;10;14;21;24
945;1;10;14;21;25
946;1;10;14;22;25
947;1;10;15;19;22
948;1;10;15;19;23
949;1;10;15;19;24
950;1;10;15;19;25
951;1;10;15;20;23
952;1;10;15;20;24
953;1;10;15;20;25
954;1;10;15;21;24
955;1;10;15;21;25
956;1;10;15;22;25
957;1;10;16;20;23
958;1;10;16;20;24
959;1;10;16;20;25
960;1;10;16;21;24
961;1;10;16;21;25
962;1;10;16;22;25
963;1;10;17;21;24
964;1;10;17;21;25
965;1;10;17;22;25
966;1;10;18;22;25
967;1;11;15;19;22
968;1;11;15;19;23
969;1;11;15;19;24
970;1;11;15;19;25
971;1;11;15;20;23
972;1;11;15;20;24
973;1;11;15;20;25
974;1;11;15;21;24
975;1;11;15;21;25
976;1;11;15;22;25
977;1;11;16;20;23
978;1;11;16;20;24
979;1;11;16;20;25
980;1;11;16;21;24
981;1;11;16;21;25
982;1;11;16;22;25
983;1;11;17;21;24
984;1;11;17;21;25
985;1;11;17;22;25
986;1;11;18;22;25
987;1;12;16;20;23
988;1;12;16;20;24
989;1;12;16;20;25
990;1;12;16;21;24
991;1;12;16;21;25
992;1;12;16;22;25
993;1;12;17;21;24
994;1;12;17;21;25
995;1;12;17;22;25
996;1;12;18;22;25
997;1;13;17;21;24
998;1;13;17;21;25
999;1;13;17;22;25
1000;1;13;18;22;25
1001;1;14;18;22;25
1002;2;5;9;13;16
1003;2;5;9;13;17
1004;2;5;9;13;18
1005;2;5;9;13;19
1006;2;5;9;13;20
1007;2;5;9;13;21
1008;2;5;9;13;22
1009;2;5;9;13;23
1010;2;5;9;13;24
1011;2;5;9;13;25
1012;2;5;9;14;17
1013;2;5;9;14;18
1014;2;5;9;14;19
1015;2;5;9;14;20
1016;2;5;9;14;21
1017;2;5;9;14;22
1018;2;5;9;14;23
1019;2;5;9;14;24
1020;2;5;9;14;25
1021;2;5;9;15;18
1022;2;5;9;15;19
1023;2;5;9;15;20
1024;2;5;9;15;21
1025;2;5;9;15;22
1026;2;5;9;15;23
1027;2;5;9;15;24
1028;2;5;9;15;25
1029;2;5;9;16;19
1030;2;5;9;16;20
1031;2;5;9;16;21
1032;2;5;9;16;22
1033;2;5;9;16;23
1034;2;5;9;16;24
1035;2;5;9;16;25
1036;2;5;9;17;20
1037;2;5;9;17;21
1038;2;5;9;17;22
1039;2;5;9;17;23
1040;2;5;9;17;24
1041;2;5;9;17;25
1042;2;5;9;18;21
1043;2;5;9;18;22
1044;2;5;9;18;23
1045;2;5;9;18;24
1046;2;5;9;18;25
1047;2;5;9;19;22
1048;2;5;9;19;23
1049;2;5;9;19;24
1050;2;5;9;19;25
1051;2;5;9;20;23
1052;2;5;9;20;24
1053;2;5;9;20;25
1054;2;5;9;21;24
1055;2;5;9;21;25
1056;2;5;9;22;25
1057;2;5;10;14;17
1058;2;5;10;14;18
1059;2;5;10;14;19
1060;2;5;10;14;20
1061;2;5;10;14;21
1062;2;5;10;14;22
1063;2;5;10;14;23
1064;2;5;10;14;24
1065;2;5;10;14;25
1066;2;5;10;15;18
1067;2;5;10;15;19
1068;2;5;10;15;20
1069;2;5;10;15;21
1070;2;5;10;15;22
1071;2;5;10;15;23
1072;2;5;10;15;24
1073;2;5;10;15;25
1074;2;5;10;16;19
1075;2;5;10;16;20
1076;2;5;10;16;21
1077;2;5;10;16;22
1078;2;5;10;16;23
1079;2;5;10;16;24
1080;2;5;10;16;25
1081;2;5;10;17;20
1082;2;5;10;17;21
1083;2;5;10;17;22
1084;2;5;10;17;23
1085;2;5;10;17;24
1086;2;5;10;17;25
1087;2;5;10;18;21
1088;2;5;10;18;22
1089;2;5;10;18;23
1090;2;5;10;18;24
1091;2;5;10;18;25
1092;2;5;10;19;22
1093;2;5;10;19;23
1094;2;5;10;19;24
1095;2;5;10;19;25
1096;2;5;10;20;23
1097;2;5;10;20;24
1098;2;5;10;20;25
1099;2;5;10;21;24
1100;2;5;10;21;25
1101;2;5;10;22;25
1102;2;5;11;15;18
1103;2;5;11;15;19
1104;2;5;11;15;20
1105;2;5;11;15;21
1106;2;5;11;15;22
1107;2;5;11;15;23
1108;2;5;11;15;24
1109;2;5;11;15;25
1110;2;5;11;16;19
1111;2;5;11;16;20
1112;2;5;11;16;21
1113;2;5;11;16;22
1114;2;5;11;16;23
1115;2;5;11;16;24
1116;2;5;11;16;25
1117;2;5;11;17;20
1118;2;5;11;17;21
1119;2;5;11;17;22
1120;2;5;11;17;23
1121;2;5;11;17;24
1122;2;5;11;17;25
1123;2;5;11;18;21
1124;2;5;11;18;22
1125;2;5;11;18;23
1126;2;5;11;18;24
1127;2;5;11;18;25
1128;2;5;11;19;22
1129;2;5;11;19;23
1130;2;5;11;19;24
1131;2;5;11;19;25
1132;2;5;11;20;23
1133;2;5;11;20;24
1134;2;5;11;20;25
1135;2;5;11;21;24
1136;2;5;11;21;25
1137;2;5;11;22;25
1138;2;5;12;16;19
1139;2;5;12;16;20
1140;2;5;12;16;21
1141;2;5;12;16;22
